,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,52,XRP,XRP,xrp,1433,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56931242174.0,99987013354.0,False,,6,,,,2024-11-22T04:25:00.000Z,1.4121128371855434,15909894930.835186,145.6846,2.9422834,29.77523192,71.52659182,165.9702459,138.16030979,132.14029721,80393337910.8244,2.4345,141211283718.55,,2024-11-22T04:25:00.000Z,,,,,,2024-11-21 23:26:05.200910
6,74,Dogecoin,DOGE,dogecoin,1105,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146891846383.70523,146891846383.70523,True,,7,,,,2024-11-22T04:24:00.000Z,0.3953659533186393,8758608515.83329,8.1776,-0.31126619,4.77601565,8.57970393,186.48575708,266.06279934,251.24513226,58076034880.22874,1.7614,58076034880.23,,2024-11-22T04:24:00.000Z,,,,,,2024-11-21 23:26:05.200910
7,3408,USDC,USDC,usd-coin,23266,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,38296748101.74948,38296748101.74948,False,,8,,,,2024-11-22T04:24:00.000Z,0.9999098462849413,14700395154.459167,27.2237,0.01553926,0.00913883,-0.01541916,-0.00381562,-0.02136655,-0.00465658,38293295507.63344,1.1614,38293295507.63,,2024-11-22T04:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-11-21 23:26:05.200910
8,2010,Cardano,ADA,cardano,1358,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35052930435.62651,44994880168.24164,False,,9,,,,2024-11-22T04:25:00.000Z,0.8945361716563774,3217281406.5824,-11.9262,2.47644658,15.46650548,50.85007628,146.86912727,151.19419071,128.75978531,31356114197.222652,0.9495,40254127724.54,,2024-11-22T04:25:00.000Z,,,,,,2024-11-21 23:26:05.200910
9,1958,TRON,TRX,tron,1072,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86352765319.62715,86352797943.52693,True,,10,,,,2024-11-22T04:25:00.000Z,0.20096922775538398,898855366.6491007,15.2806,0.04714923,2.70668921,12.730754,25.35001675,32.47072842,24.40660112,17354248560.827374,0.5263,17354255117.23,,2024-11-22T04:25:00.000Z,,,,,,2024-11-21 23:26:05.200910
10,5805,Avalanche,AVAX,avalanche,805,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,409106234.0185676,447442534.0185676,False,,11,,,,2024-11-22T04:25:00.000Z,36.3541727360968,961789930.3529353,22.2615,-0.66142283,9.69308279,16.19822575,33.26664522,31.12826693,37.96738404,14872718698.925049,0.4504,26020452566.17,,2024-11-22T04:25:00.000Z,,,,,,2024-11-21 23:26:05.200910
11,5994,Shiba Inu,SHIB,shiba-inu,907,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589260483304199.2,589512450521971.5,False,,12,,,,2024-11-22T04:25:00.000Z,2.5001801876513364e-05,1426758403.6633556,27.8444,0.06634786,6.46837249,6.77639279,39.49476603,69.98756121,64.03697998,14732573857.2301,0.4468,14738873491.69,,2024-11-22T04:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-11-21 23:26:05.200910
12,11419,Toncoin,TON,toncoin,616,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2546756632.4402313,5115782378.654452,True,,13,3414166606.0,18991678945.725094,,2024-11-22T04:25:00.000Z,5.562610480797694,467335619.9860529,42.7943,0.07182821,5.37670355,6.20557529,7.11143769,-1.47824691,-17.45823845,14166615135.653072,0.429,28457104676.98,,2024-11-22T04:25:00.000Z,,,,,,2024-11-21 23:26:05.200910
13,20947,Sui,SUI,sui,420,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.0,2845750695.583888,10000000000.0,False,,14,,,,2024-11-22T04:25:00.000Z,3.627888546925982,1878559832.1121655,18.2087,1.39940584,4.5011562,15.06864437,89.70328479,125.59701879,265.62966961,10324066355.915434,0.3126,36278885469.26,,2024-11-22T04:25:00.000Z,,,,,,2024-11-21 23:26:05.200910
14,1831,Bitcoin Cash,BCH,bitcoin-cash,949,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19791581.25,19791581.25,False,,15,,,,2024-11-22T04:25:00.000Z,493.9325327816199,2240727811.8832927,267.8371,-0.88348973,6.00994309,18.2537537,39.2958438,43.49598834,36.99489642,9775705854.56572,0.296,10372583188.41,,2024-11-22T04:25:00.000Z,,,,,,2024-11-21 23:26:05.200910
